X,Y,Series
1.4018916847041842, 3.7028146131318724, Pfizer-BioNTech LP.8.1 vaccinated sera
1.4391211219336217, 3.5348484693592774, Pfizer-BioNTech LP.8.1 vaccinated sera
1.4949652777777775, 4.095541808278423, Pfizer-BioNTech LP.8.1 vaccinated sera
1.4763505591630588, 2.6756691182444428, Pfizer-BioNTech LP.8.1 vaccinated sera
1.6066535894660892, 2.9004301696183967, Pfizer-BioNTech LP.8.1 vaccinated sera
1.625268308080808, 3.38623095783854, Pfizer-BioNTech LP.8.1 vaccinated sera
1.662497745310245, 3.1995833760296675, Pfizer-BioNTech LP.8.1 vaccinated sera
1.6438830266955262, 3.4423586712243175, Pfizer-BioNTech LP.8.1 vaccinated sera
1.699727182539682, 2.4898555292050464, Pfizer-BioNTech LP.8.1 vaccinated sera
1.6811124639249637, 3.237029651379169, Pfizer-BioNTech LP.8.1 vaccinated sera
1.811415494227994, 3.1815691322089723, Pfizer-BioNTech LP.8.1 vaccinated sera
1.811415494227994, 2.5650816770118396, Pfizer-BioNTech LP.8.1 vaccinated sera
1.8486449314574311, 3.592727567560956, Pfizer-BioNTech LP.8.1 vaccinated sera
1.8300302128427124, 3.0135195891594293, Pfizer-BioNTech LP.8.1 vaccinated sera
1.8300302128427124, 2.751979456651555, Pfizer-BioNTech LP.8.1 vaccinated sera
1.8486449314574311, 3.3685503111256354, Pfizer-BioNTech LP.8.1 vaccinated sera
1.9603332431457428, 3.126192012315723, Pfizer-BioNTech LP.8.1 vaccinated sera
1.9789479617604615, 1.9867076913797899, Pfizer-BioNTech LP.8.1 vaccinated sera
2.0534068362193354, 2.6222101817209893, Pfizer-BioNTech LP.8.1 vaccinated sera
2.183709866522366, 1.987625083426214, Pfizer-BioNTech LP.8.1 vaccinated sera
2.2209393037518037, 4.210883008297042, Pfizer-BioNTech LP.8.1 vaccinated sera
2.2581687409812403, 2.9407120203841184, Pfizer-BioNTech LP.8.1 vaccinated sera
2.369857052669552, 1.9884590761956904, Pfizer-BioNTech LP.8.1 vaccinated sera
2.4070864898989894, 1.3160941054436224, Pfizer-BioNTech LP.8.1 vaccinated sera
2.4815453643578635, 2.2504996043652508, Pfizer-BioNTech LP.8.1 vaccinated sera
2.5001600829725827, 1.465962606118575, Pfizer-BioNTech LP.8.1 vaccinated sera
2.6304631132756127, 1.541272153202316, Pfizer-BioNTech LP.8.1 vaccinated sera
2.928298611111111, 2.2338197489757183, Pfizer-BioNTech LP.8.1 vaccinated sera
3.635657918470418, 2.6479805582978173, Pfizer-BioNTech LP.8.1 vaccinated sera
0.8289517195767193, 2.8905603022566497, Novavax LP.8.1 vaccinated sera
1.182631373256373, 4.069075484804091, Novavax LP.8.1 vaccinated sera
1.2198608104858104, 3.340666199943193, Novavax LP.8.1 vaccinated sera
1.2384755291005287, 3.807785550127059, Novavax LP.8.1 vaccinated sera
1.5549257455507453, 3.3234859488919737, Novavax LP.8.1 vaccinated sera
1.5921551827801823, 3.790688698352788, Novavax LP.8.1 vaccinated sera
1.610769901394901, 3.006151700106112, Novavax LP.8.1 vaccinated sera
1.6852287758537756, 3.230662553649224, Novavax LP.8.1 vaccinated sera
1.7596876503126502, 2.9507745802128635, Novavax LP.8.1 vaccinated sera
1.9086053992303988, 1.7931926161792866, Novavax LP.8.1 vaccinated sera
1.9830642736892734, 3.0078196856450656, Novavax LP.8.1 vaccinated sera
2.150596741221741, 2.1118612533963113, Novavax LP.8.1 vaccinated sera
2.2622850529100527, 2.6167604760374683, Novavax LP.8.1 vaccinated sera
2.355358645983646, 3.0655319852928495, Novavax LP.8.1 vaccinated sera
2.29951449013949, 1.9070326292128472, Novavax LP.8.1 vaccinated sera
2.42981752044252, 2.8790512020378727, Novavax LP.8.1 vaccinated sera
2.3739733645983643, 3.0842968226060736, Novavax LP.8.1 vaccinated sera
2.634579425204425, 1.6469936836900319, Novavax LP.8.1 vaccinated sera
2.6718088624338625, 2.058152119042015, Novavax LP.8.1 vaccinated sera
1.4486531986531987, 3.0004993181516473, Daiichi Sankyo XEC vaccinated sera
1.8395622895622898, 3.2637908354754224, Daiichi Sankyo XEC vaccinated sera
1.9140211640211644, 3.6564346313450247, Daiichi Sankyo XEC vaccinated sera
1.9140211640211644, 1.09707762037511, Daiichi Sankyo XEC vaccinated sera
2.156012506012506, 3.1904828710384256, Daiichi Sankyo XEC vaccinated sera
2.2490860990860995, 3.302988495640825, Daiichi Sankyo XEC vaccinated sera
2.3235449735449736, 2.4813388191524384, Daiichi Sankyo XEC vaccinated sera
2.4538480038480035, 2.5753298042724557, Daiichi Sankyo XEC vaccinated sera
2.4538480038480035, 1.734665092640003, Daiichi Sankyo XEC vaccinated sera
2.5841510341510343, 1.847337515796296, Daiichi Sankyo XEC vaccinated sera
2.6586099086099093, 1.77294536075898, Daiichi Sankyo XEC vaccinated sera
2.8261423761423767, 2.875900798391837, Daiichi Sankyo XEC vaccinated sera
3.1053631553631558, 1.7749469434057241, Daiichi Sankyo XEC vaccinated sera
2.3268378745809297, 2.087858205841423, Daiichi Sankyo XEC vaccinated sera
2.4269193548707433, 2.1720067622977632, Daiichi Sankyo XEC vaccinated sera
2.376878614725837, 1.7951318331598216, Daiichi Sankyo XEC vaccinated sera
2.518660711803072, 1.8962072528820242, Daiichi Sankyo XEC vaccinated sera
2.4435996015857127, 2.275311695283091, Daiichi Sankyo XEC vaccinated sera
2.589551760341691, 2.2829406163650194, Daiichi Sankyo XEC vaccinated sera
2.4366494987878093, 2.135780285617291, Daiichi Sankyo XEC vaccinated sera
