X,Y,Series
2.3760845057720053, 1.8043441749968956, Meiji Seika Pharma XEC vaccinated sera
2.5250022546897544, 1.917099997430137, Meiji Seika Pharma XEC vaccinated sera
2.6925347222222227, 3.50577282400619, Meiji Seika Pharma XEC vaccinated sera
2.86006718975469, 1.3581580433268927, Meiji Seika Pharma XEC vaccinated sera
2.86006718975469, 1.8251939942338113, Meiji Seika Pharma XEC vaccinated sera
3.604655934343434, 1.8658928413842713, Meiji Seika Pharma XEC vaccinated sera
2.3268378745809297, 2.087858205841423, Meiji Seika Pharma XEC vaccinated sera
2.4269193548707433, 2.1720067622977632, Meiji Seika Pharma XEC vaccinated sera
2.376878614725837, 1.7951318331598216, Meiji Seika Pharma XEC vaccinated sera
2.518660711803072, 1.8962072528820242, Meiji Seika Pharma XEC vaccinated sera
1.55, 2.75, Virus B.1.1
2.182705026455027, 2.6591220356621337, Virus BA.5
2.41005291005291, 2.7431088923024394, Virus XBB.1.5
2.885416666666667, 1.7496193830479214, Virus JN.1
3.019758597883598, 1.0449909534950965, Virus XEC
2.968088624338624, 1.2106960030627132, Virus LP.8.1
2.813078703703704, 0.9818387636067953, Virus NB.1.8.1
3.040426587301588, 0.33985323208833407, Virus XFG
0.3122519841269844, 1.800317072144468, Virus BA.3.2
